fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
18163,3.1,"51,603",89.6
18165,5.2,"50,723",88
18167,4.3,"48,082",83.5
18169,3.1,"59,874",103.9
18171,3,"64,109",111.3
18173,2.9,"79,644",138.2
18175,3.3,"51,948",90.2
18177,3.6,"47,885",83.1
18179,2.7,"61,636",107
18181,2.7,"58,295",101.2
18183,2.9,"67,347",116.9
19000,2.7,"61,807",100
19001,2.4,"57,977",93.8
19003,1.7,"53,385",86.4
19005,3.5,"56,240",91
19007,3.6,"41,672",67.4
19009,2.5,"53,197",86.1
19011,3,"70,023",113.3
19013,3.2,"60,010",97.1
19015,2.4,"63,975",103.5
19017,2.3,"67,229",108.8
19019,2.8,"67,906",109.9
19021,2.1,"57,048",92.3
19023,3.2,"57,080",92.4
19025,2.6,"57,007",92.2
19027,1.9,"61,379",99.3
19029,2.8,"53,692",86.9
19031,2.5,"71,029",114.9
19033,2.7,"54,589",88.3
19035,2.5,"59,901",96.9
19037,2.9,"60,111",97.3
19039,2.9,"57,708",93.4
19041,2.8,"57,174",92.5
19043,3.7,"53,223",86.1
19045,3.7,"56,865",92
19047,3.6,"58,077",94
19049,2,"97,535",157.8
19051,2.9,"57,150",92.5
19053,2.2,"44,873",72.6
19055,2.4,"70,091",113.4
19057,4,"53,547",86.6
19059,2.9,"66,211",107.1
19061,2.6,"62,481",101.1
19063,2.6,"55,635",90
19065,3.6,"53,142",86
19067,3.6,"55,369",89.6
19069,2.3,"55,847",90.4
19071,2.8,"60,498",97.9
19073,2.4,"55,562",89.9
19075,2.8,"73,683",119.2
19077,3,"64,965",105.1
19079,2.9,"63,234",102.3
19081,2.4,"62,030",100.4
19083,3.2,"57,103",92.4
19085,2.4,"63,901",103.4
19087,2.7,"57,747",93.4
19089,2.8,"58,028",93.9
19091,2.7,"56,695",91.7
19093,2,"58,249",94.2
19095,2.2,"66,861",108.2
19097,3.2,"57,687",93.3
19099,2.9,"67,317",108.9
19101,2.4,"51,741",83.7
19103,2,"67,295",108.9
19105,3.2,"63,399",102.6
19107,3.3,"54,937",88.9
19109,2.2,"59,568",96.4
19111,3.9,"51,089",82.7
19113,2.9,"64,783",104.8
19115,3.1,"60,544",98
19117,2.1,"53,085",85.9
19119,1.6,"66,139",107
19121,3.6,"72,578",117.4
19123,2.5,"59,242",95.8
19125,2.1,"66,381",107.4
19127,4.5,"55,631",90
19129,2.3,"72,679",117.6
19131,1.7,"61,247",99.1
19133,3,"53,104",85.9
19135,3.1,"56,397",91.2
19137,2.7,"52,715",85.3
19139,2.9,"61,767",99.9
19141,2.2,"60,298",97.6
19143,1.9,"60,702",98.2
19145,2.6,"52,179",84.4
